Date,CDS,US10Y,DXY,RESERVES,ln_DXY,ln_RES,BRUNSON,AGBAL
2013-10-11,196.475,2.7,80.362,132562.0,4.386541427641014,11.794805739494173,0,0
2013-10-18,178.595,2.6,79.654,132679.0,4.377692254806327,11.795687956101624,0,0
2013-10-25,181.49,2.53,79.194,134268.0,4.371900538374873,11.807593081595721,0,0
2013-11-01,191.04,2.65,80.716,133897.0,4.3909368208036375,11.804826126648587,0,0
2013-11-08,199.61,2.77,81.303,133977.0,4.398182916241967,11.805423422409866,0,0
2013-11-15,201.275,2.71,80.849,135135.0,4.392583217362827,11.81402955775365,0,0
2013-11-22,197.615,2.75,80.708,135328.0,4.390837702952432,11.815456740272214,0,0
2013-11-29,202.65,2.75,80.68,134617.0,4.390490713086011,11.81018898836616,0,0
2013-12-06,205.05,2.88,80.315,135637.0,4.38595640300973,11.817737478625475,0,0
2013-12-13,192.99,2.88,80.214,135962.0,4.384698063229041,11.820130713910743,0,0
2013-12-20,203.74,2.89,80.575,135066.0,4.389188427701502,11.813518826842218,0,0
2013-12-27,230.92,3.02,80.392,132874.0,4.386914668746657,11.79715658974575,0,0
2014-01-03,239.855,3.01,80.791,130311.0,4.391865573184539,11.77767918011764,0,0
2014-01-10,235.39,2.88,80.658,129704.0,4.390217993700171,11.773010210229906,0,0
2014-01-17,241.23,2.84,81.225,126143.0,4.397223081555164,11.745171463032973,0,0
2014-01-24,265.59,2.75,80.458,121676.0,4.387735309140863,11.709117053283046,0,0
2014-01-31,263.795,2.67,81.311,124242.0,4.398281308754376,11.729986555568079,0,0
2014-02-07,244.075,2.71,80.691,121672.0,4.390627044893052,11.709084178552205,0,0
2014-02-14,244.375,2.75,80.136,123066.0,4.3837251913094635,11.720476075809959,0,0
2014-02-21,234.225,2.73,80.237,124148.0,4.384984755118247,11.729229681261646,0,0
2014-02-28,225.035,2.66,79.691,127695.0,4.3781566559568486,11.757399886986267,0,0
2014-03-07,216.425,2.8,79.719,128064.0,4.378507951362256,11.760285417943406,0,0
2014-03-14,247.63,2.65,79.446,127941.0,4.3750775455856745,11.75932449913741,0,0
2014-03-21,250.805,2.75,80.105,126695.0,4.383338274098677,11.749537902231403,0,0
2014-03-28,223.79,2.73,80.176,126528.0,4.384224218217369,11.748218906530289,0,0
2014-04-04,201.59,2.74,80.423,125211.0,4.387300204926541,11.737755593213642,0,0
2014-04-11,196.51,2.63,79.452,128034.0,4.375153065730709,11.76005113262968,0,0
2014-04-18,200.1,2.73,79.847,127398.0,4.380112303510651,11.75507132340985,0,0
2014-04-25,201.31,2.68,79.749,129647.0,4.378884202401385,11.772570651478114,0,0
2014-05-02,191.675,2.6,79.516,129520.0,4.3759582592722746,11.771590588351517,0,0
2014-05-09,179.205,2.62,79.903,129594.0,4.380813399001028,11.772161765532308,0,0
2014-05-16,187.035,2.52,80.043,129040.0,4.382563990272498,11.767877712799091,0,0
2014-05-23,182.18,2.54,80.393,130611.0,4.386927107717955,11.779978718923852,0,0
2014-05-30,181.49,2.48,80.369,130588.0,4.386628529693567,11.77980260798882,0,0
2014-06-06,176.765,2.6,80.409,130781.0,4.38712611021858,11.78127944751515,0,0
2014-06-13,180.655,2.6,80.576,130534.0,4.389200838421882,11.77938900820964,0,0
2014-06-20,179.895,2.63,80.372,130719.0,4.386665856822306,11.780805260125769,0,0
2014-06-27,174.075,2.54,80.039,132552.0,4.382514015884362,11.794730300249133,0,0
2014-07-04,179.745,2.65,80.269,135007.0,4.385383494111481,11.813081907928158,0,0
2014-07-11,177.36,2.53,80.187,133682.0,4.3843614069706005,11.803219124258495,0,0
2014-07-18,183.99,2.5,80.524,134014.0,4.388555276636582,11.805699551087583,0,0
2014-07-25,175.28,2.48,81.029,133226.0,4.39480711528825,11.799802213235518,0,0
2014-08-01,184.725,2.52,81.302,133498.0,4.398170616497186,11.801841775436813,0,0
2014-08-08,193.97,2.44,81.389,133577.0,4.399240128741784,11.802433369575569,0,0
2014-08-15,186.125,2.34,81.424,135576.0,4.399670069846477,11.817287647673208,0,0
2014-08-22,183.0,2.4,82.336,135414.0,4.410808436099334,11.816092031456387,0,0
2014-08-29,179.72,2.35,82.748,134080.0,4.4157998447808025,11.80619191571591,0,0
2014-09-05,172.31,2.46,83.739,134477.0,4.427704818795309,11.809148459683756,0,0
2014-09-12,180.1,2.62,84.24,133020.0,4.43366986782572,11.798254771838412,0,0
2014-09-19,182.835,2.59,84.735,132582.0,4.439528739445335,11.79495660091316,0,0
2014-09-26,196.57,2.54,85.64,134424.0,4.450152463721482,11.808754262557779,0,0
2014-10-03,202.755,2.45,86.694,133172.0,4.4623846772395295,11.799396804780953,0,0
2014-10-10,197.55,2.31,85.912,133942.0,4.4533235165559155,11.80516214941169,0,0
2014-10-17,196.175,2.22,85.11,133650.0,4.4439445374888695,11.802979721567064,0,0
2014-10-24,183.575,2.29,85.732,132685.0,4.451226151474886,11.795733177005749,0,0
2014-10-31,173.14,2.35,86.917,132287.0,4.4649536402965015,11.792729083748235,0,0
2014-11-07,177.78,2.32,87.642,132893.0,4.473260335096729,11.797299572132822,0,0
2014-11-14,172.185,2.32,87.525,132669.0,4.471924466840729,11.795612583383498,0,0
2014-11-21,166.56,2.31,88.31,132594.0,4.480853351480711,11.79504710684136,0,0
2014-11-28,163.39,2.18,88.356,133440.0,4.48137410817458,11.801407217592574,0,0
2014-12-05,156.53,2.31,89.334,131886.0,4.492382154501469,11.789693192056129,0,0
2014-12-12,187.085,2.1,88.363,132033.0,4.481453329990046,11.790807170323715,0,0
2014-12-19,182.965,2.17,89.598,127344.0,4.495332998303186,11.754647365045631,0,0
2014-12-26,175.05,2.25,90.03,126448.0,4.500142948120385,11.747586435444756,0,0
2015-01-02,179.985,2.12,91.08,128317.0,4.5117382411955385,11.762259043774678,0,0
2015-01-09,184.22,1.98,91.935,127789.0,4.521081805605805,11.758135745233686,0,0
